1.5	1.75	264
1.5	2	414
1.5	2.25	591
1.5	2.5	741
1.5	2.75	849
1.5	3	924
1.5	3.25	942
1.5	3.5	952
1.5	3.75	962
1.5	4	972
1.5	4.25	976
1.5	4.5	974
1.5	4.75	971
1.5	5	978
		
1.75	0	0
1.75	0.25	0
1.75	0.5	0
1.75	0.75	2
1.75	1	4
1.75	1.25	25
1.75	1.5	69
1.75	1.75	121
1.75	2	233
1.75	2.25	409
1.75	2.5	540
1.75	2.75	691
1.75	3	805
1.75	3.25	917
1.75	3.5	952
1.75	3.75	971
1.75	4	980
1.75	4.25	984
1.75	4.5	986
1.75	4.75	985
1.75	5	989
		
2	0	0
2	0.25	0
2	0.5	0
2	0.75	0
2	1	1
2	1.25	7
2	1.5	8
2	1.75	32
2	2	94
2	2.25	205
2	2.5	359
2	2.75	483
2	3	654
2	3.25	787
2	3.5	882
2	3.75	927
2	4	957
2	4.25	980
2	4.5	986
2	4.75	997
2	5	994
		
2.25	0	0
2.25	0.25	0
2.25	0.5	0
2.25	0.75	0
2.25	1	0
2.25	1.25	0
2.25	1.5	5
2.25	1.75	12
2.25	2	34
2.25	2.25	94
2.25	2.5	148
2.25	2.75	292
2.25	3	448
2.25	3.25	598
2.25	3.5	726
2.25	3.75	845
2.25	4	919
2.25	4.25	953
2.25	4.5	976
2.25	4.75	986
2.25	5	995
		
2.5	0	0
2.5	0.25	0
2.5	0.5	0
2.5	0.75	0
2.5	1	0
2.5	1.25	0
2.5	1.5	0
2.5	1.75	3
2.5	2	6
2.5	2.25	24
2.5	2.5	64
2.5	2.75	118
2.5	3	256
2.5	3.25	357
2.5	3.5	538
2.5	3.75	691
2.5	4	807
2.5	4.25	882
2.5	4.5	935
2.5	4.75	972
2.5	5	984
		
2.75	0	0
2.75	0.25	0
2.75	0.5	0
2.75	0.75	0
2.75	1	0
2.75	1.25	0
2.75	1.5	0
2.75	1.75	2
2.75	2	0
2.75	2.25	4
2.75	2.5	13
2.75	2.75	42
2.75	3	124
2.75	3.25	173
2.75	3.5	339
2.75	3.75	483
2.75	4	639
2.75	4.25	745
2.75	4.5	881
2.75	4.75	912
2.75	5	958
		
3	0	0
3	0.25	0
3	0.5	0
3	0.75	0
3	1	0
3	1.25	0
3	1.5	0
3	1.75	0
3	2	1
3	2.25	3
3	2.5	1
3	2.75	13
3	3	33
3	3.25	83
3	3.5	149
3	3.75	258
3	4	399
3	4.25	551
3	4.5	692
3	4.75	825
3	5	880
		
3.25	0	0
3.25	0.25	0
3.25	0.5	0
3.25	0.75	0
3.25	1	0
3.25	1.25	0
3.25	1.5	0
3.25	1.75	0
3.25	2	0
3.25	2.25	0
3.25	2.5	0
3.25	2.75	0
3.25	3	5
3.25	3.25	24
3.25	3.5	65
3.25	3.75	109
3.25	4	229
3.25	4.25	367
3.25	4.5	498
3.25	4.75	675
3.25	5	766
		
3.5	0	0
3.5	0.25	0
3.5	0.5	0
3.5	0.75	0
3.5	1	0
3.5	1.25	0
3.5	1.5	0
3.5	1.75	0
3.5	2	0
3.5	2.25	0
3.5	2.5	0
3.5	2.75	0
3.5	3	2
3.5	3.25	9
3.5	3.5	15
3.5	3.75	36
3.5	4	97
3.5	4.25	170
3.5	4.5	291
3.5	4.75	426
3.5	5	567
		
3.75	0	0
3.75	0.25	0
3.75	0.5	0
3.75	0.75	0
3.75	1	0
3.75	1.25	0
3.75	1.5	0
3.75	1.75	0
3.75	2	0
3.75	2.25	0
3.75	2.5	0
3.75	2.75	0
3.75	3	0
3.75	3.25	1
3.75	3.5	3
3.75	3.75	12
3.75	4	29
3.75	4.25	54
3.75	4.5	128
3.75	4.75	215
3.75	5	336
		
4	0	0
4	0.25	0
4	0.5	0
4	0.75	0
4	1	0
4	1.25	0
4	1.5	0
4	1.75	0
4	2	0
4	2.25	0
4	2.5	0
4	2.75	0
4	3	0
4	3.25	0
4	3.5	0
4	3.75	1
4	4	4
4	4.25	18
4	4.5	51
4	4.75	92
4	5	182
		
4.25	0	0
4.25	0.25	0
4.25	0.5	0
4.25	0.75	0
4.25	1	0
4.25	1.25	0
4.25	1.5	0
4.25	1.75	0
4.25	2	0
4.25	2.25	0
4.25	2.5	0
4.25	2.75	0
4.25	3	0
4.25	3.25	0
4.25	3.5	0
4.25	3.75	0
4.25	4	1
4.25	4.25	1
4.25	4.5	16
4.25	4.75	29
4.25	5	61
		
4.5	0	0
4.5	0.25	0
4.5	0.5	0
4.5	0.75	0
4.5	1	0
4.5	1.25	0
4.5	1.5	0
4.5	1.75	0
4.5	2	0
4.5	2.25	0
4.5	2.5	0
4.5	2.75	0
4.5	3	0
4.5	3.25	0
4.5	3.5	0
4.5	3.75	0
4.5	4	0
4.5	4.25	0
4.5	4.5	2
4.5	4.75	6
4.5	5	16
		
4.75	0	0
4.75	0.25	0
4.75	0.5	0
4.75	0.75	0
4.75	1	0
4.75	1.25	0
4.75	1.5	0
4.75	1.75	0
4.75	2	0
4.75	2.25	0
4.75	2.5	0
4.75	2.75	0
4.75	3	0
4.75	3.25	0
4.75	3.5	0
4.75	3.75	0
4.75	4	0
4.75	4.25	0
4.75	4.5	0
4.75	4.75	0
4.75	5	2
		
5	0	0
5	0.25	0
5	0.5	0
5	0.75	0
5	1	0
5	1.25	0
5	1.5	0
5	1.75	0
5	2	0
5	2.25	0
5	2.5	0
5	2.75	0
5	3	0
5	3.25	0
5	3.5	0
5	3.75	0
5	4	0
5	4.25	0
5	4.5	1
5	4.75	0
5	5	0
