		Minimum = 0.217122002			
K3 Angle	K4 Angl4	Single_cod	Inj_eff		
3.5	1.25	3.445510591	0	3.228388589	1000
3.5	1.5	3.136371228	0	2.919249226	1000
3.5	1.75	2.791134249	0	2.574012247	1000
3.5	2	2.643431949	0	2.426309947	1000
3.5	2.25	2.590628032	0	2.37350603	1000
3.5	2.5	2.53449201	0	2.317370008	1000
3.5	2.75	2.453827722	0	2.236705721	1000
3.5	3	2.338278836	2	2.121156835	998
3.5	3.25	2.20836752	9	1.991245519	991
3.5	3.5	2.068018606	15	1.850896604	985
3.5	3.75	1.927076887	36	1.709954886	964
3.5	4	1.791185047	97	1.574063045	903
3.5	4.25	1.663743386	170	1.446621384	830
3.5	4.5	1.542533583	291	1.325411581	709
3.5	4.75	1.430990792	426	1.21386879	574
3.5	5	1.329742923	567	1.112620922	433
					
3.75	0	13166.93316	0	13166.71604	1000
3.75	0.25	12495573.72	0	12495573.51	1000
3.75	0.5	1.48E+12	0	1.47837E+12	1000
3.75	0.75	6607358.465	0	6607358.248	1000
3.75	1	158153.6416	0	158153.4245	1000
3.75	1.25	3.910063114	0	3.692941112	1000
3.75	1.5	3.417788553	0	3.200666551	1000
3.75	1.75	3.462108914	0	3.244986913	1000
3.75	2	3.116938074	0	2.899816072	1000
3.75	2.25	2.805551331	0	2.588429329	1000
3.75	2.5	2.684487295	0	2.467365293	1000
3.75	2.75	2.648671091	0	2.431549089	1000
3.75	3	2.607361157	0	2.390239155	1000
3.75	3.25	2.537836107	1	2.320714105	999
3.75	3.5	2.434585473	3	2.217463471	997
3.75	3.75	2.317359252	12	2.10023725	988
3.75	4	2.188539154	29	1.971417152	971
3.75	4.25	2.055344178	54	1.838222176	946
3.75	4.5	1.927260426	128	1.710138424	872
3.75	4.75	1.806893606	215	1.589771604	785
3.75	5	1.692024111	336	1.474902109	664
					
4	0	118.3817234	0	118.1646014	1000
4	0.25	8395272.446	0	8395272.229	1000
4	0.5	8398.271672	0	8398.05455	1000
4	0.75	17062204.62	0	17062204.4	1000
4	1	17.06666541	0	16.84954341	1000
4	1.25	1559162.186	0	1559161.969	1000
4	1.5	1141701.839	0	1141701.622	1000
4	1.75	3.882510862	0	3.665388861	1000
4	2	3.452697307	0	3.235575305	1000
4	2.25	3.490004754	0	3.272882752	1000
4	2.5	3.139126275	0	2.922004274	1000
4	2.75	2.844942657	0	2.627820655	1000
4	3	2.736863559	0	2.519741557	1000
4	3.25	2.714734571	0	2.497612569	1000
4	3.5	2.690592308	0	2.473470306	1000
4	3.75	2.64209219	1	2.424970189	999
4	4	2.558734239	4	2.341612237	996
4	4.25	2.458285626	18	2.241163624	982
4	4.5	2.343908413	51	2.126786411	949
4	4.75	2.222372948	92	2.005250946	908
4	5	2.105100905	182	1.887978904	818
					
4.25	0	135.4978079	0	135.2806859	1000
4.25	0.25	3.83E+50	0	3.83378E+50	1000
4.25	0.5	2.02E+12	0	2.01952E+12	1000
4.25	0.75	4060279.593	0	4060279.376	1000
4.25	1	217.0714375	0	216.8543155	1000
4.25	1.25	18449644	0	18449643.79	1000
4.25	1.5	9.30E+28	0	9.2974E+28	1000
4.25	1.75	7463.657194	0	7463.440072	1000
4.25	2	3372.817295	0	3372.600173	1000
4.25	2.25	3.889745979	0	3.672623977	1000
4.25	2.5	3.477010541	0	3.259888539	1000
4.25	2.75	3.540601335	0	3.323479333	1000
4.25	3	3.214921472	0	2.99779947	1000
4.25	3.25	2.911591978	0	2.694469976	1000
4.25	3.5	2.796720402	0	2.5795984	1000
4.25	3.75	2.785087311	0	2.567965309	1000
4.25	4	2.78190128	1	2.564779279	999
4.25	4.25	2.763056172	1	2.54593417	999
4.25	4.5	2.709268373	16	2.492146371	984
4.25	4.75	2.630575535	29	2.413453533	971
4.25	5	2.538318485	61	2.321196484	939
					
4.5	0	113.7428968	0	113.5257748	1000
4.5	0.25	3.46E+50	0	3.45833E+50	1000
4.5	0.5	41770.57922	0	41770.3621	1000
4.5	0.75	7.57E+17	0	7.57053E+17	1000
4.5	1	7.35E+13	0	7.34647E+13	1000
4.5	1.25	2263634.647	0	2263634.43	1000
4.5	1.5	113.6447931	0	113.4276711	1000
4.5	1.75	16763728.82	0	16763728.6	1000
4.5	2	4.775052686	0	4.557930684	1000
4.5	2.25	1472555.626	0	1472555.409	1000
4.5	2.5	4109.653564	0	4109.436442	1000
4.5	2.75	3.949622479	0	3.732500477	1000
4.5	3	3.484412619	0	3.267290618	1000
4.5	3.25	3.6057806	0	3.388658599	1000
4.5	3.5	3.357646751	0	3.140524749	1000
4.5	3.75	3.02974224	0	2.812620238	1000
4.5	4	2.872577519	0	2.655455517	1000
4.5	4.25	2.85285021	0	2.635728209	1000
4.5	4.5	2.869542401	2	2.652420399	998
4.5	4.75	2.885973963	6	2.668851961	994
4.5	5	2.872357345	16	2.655235343	984
					
4.75	0	2.23E+12	0	2.23384E+12	1000
4.75	0.25	101.3137948	0	101.0966728	1000
4.75	0.5	98.65057696	0	98.43345496	1000
4.75	0.75	94.63067246	0	94.41355045	1000
4.75	1	89.57461789	0	89.35749589	1000
4.75	1.25	79.38361421	0	79.1664922	1000
4.75	1.5	753190.1692	0	753189.9521	1000
4.75	1.75	2099124.856	0	2099124.639	1000
4.75	2	1080843.464	0	1080843.247	1000
4.75	2.25	7375525.445	0	7375525.228	1000
4.75	2.5	3.60E+13	0	3.59705E+13	1000
4.75	2.75	11545.84065	0	11545.62353	1000
4.75	3	81.93815844	0	81.72103644	1000
4.75	3.25	4.125433553	0	3.908311551	1000
4.75	3.5	3.58000738	0	3.362885378	1000
4.75	3.75	3.624798033	0	3.407676031	1000
4.75	4	3.565830856	0	3.348708854	1000
4.75	4.25	3.234505243	0	3.017383242	1000
4.75	4.5	3.000557376	0	2.783435374	1000
4.75	4.75	2.924611181	0	2.707489179	1000
4.75	5	2.943978673	2	2.726856672	998
					
5	0	6.50E+50	0	6.50076E+50	1000
5	0.25	150.9305494	0	150.7134274	1000
5	0.5	98.38593113	0	98.16880913	1000
5	0.75	9.25E+50	0	9.25107E+50	1000
5	1	662.44743	0	662.230308	1000
5	1.25	56626.65341	0	56626.43629	1000
5	1.5	1.63E+50	0	1.63104E+50	1000
5	1.75	13.44866042	0	13.23153842	1000
5	2	103.1582976	0	102.9411756	1000
5	2.25	4978516.478	0	4978516.261	1000
5	2.5	128.0968202	0	127.8796982	1000
5	2.75	8821.691365	0	8821.474243	1000
5	3	2788051.609	0	2788051.392	1000
5	3.25	6.50E+50	0	6.50076E+50	1000
5	3.5	5676.067332	0	5675.85021	1000
5	3.75	1339265.772	0	1339265.555	1000
5	4	3.95145328	0	3.734331278	1000
5	4.25	3.543047415	0	3.325925413	1000
5	4.5	3.699984189	1	3.482862187	999
5	4.75	3.582528083	0	3.365406081	1000
5	5	3.287136591	0	3.070014589	1000
